,race,duplicate,time,class
1-234-IgG1-1_S89,Holstein,234,234,IgG1
10-618-IgG1-1_S98,Holstein,618,NO,IgG1
11-278-IgG1-1_S99,Holstein,NO,278,IgG1
12-9004-IgG1-1_S100,Holstein,NO,9004,IgG1
13-279-IgG1-1_S101,Holstein,NO,279,IgG1
14-281-IgG1-1_S102,Holstein,NO,281,IgG1
15-291-IgG1-1_S103,Holstein,NO,291,IgG1
16-637-IgG1-1_S104,Holstein,NO,637,IgG1
17-641-IgG1-1_S105,Holstein,NO,641,IgG1
18-720-IgG1-1_S106,Holstein,NO,720,IgG1
19-257-IgG1-1_S107,Ayrshire,NO,NO,IgG1
2-234-IgG1-1_S90,Holstein,234,NO,IgG1
20-261-IgG1-1_S108,Ayrshire,NO,NO,IgG1
21-262-IgG1-1_S109,Ayrshire,NO,NO,IgG1
22-264-IgG1-1_S110,Ayrshire,NO,NO,IgG1
23-267-IgG1-1_S111,Holstein,NO,NO,IgG1
24-268-IgG1-1_S112,Ayrshire,NO,NO,IgG1
25-271-IgG1-1_S113,Ayrshire,NO,NO,IgG1
26-258-IgG3-1_S26,Ayrshire,NO,NO,IgG1
26-258-IgGM1-1_S70,Ayrshire,NO,NO,IgG1
26-258-IgG1-1_S114,Ayrshire,NO,NO,IgG1
26-258-IgG2-1_S158,Ayrshire,NO,NO,IgG2
26-258-IgGM2-1_S202,Ayrshire,NO,NO,IgGM2
27-266-IgG1-1_S115,Ayrshire,NO,NO,IgG1
28-272-IgG1-1_S116,Ayrshire,NO,NO,IgG1
29-273-IgG1-1_S117,Ayrshire,NO,NO,IgG1
3-241-IgG1-1_S91,Holstein,241,241,IgG1
30-275-IgG1-1_S118,Ayrshire,NO,NO,IgG1
31-277-IgG1-1_S119,Ayrshire,NO,NO,IgG1
32-234-IgG1-1_S120,Holstein,NO,234,IgG1
33-241-IgG1-1_S121,Holstein,NO,241,IgG1
34-253-IgG1-1_S122,Holstein,NO,253,IgG1
35-603-IgG1-1_S123,Holstein,NO,603,IgG1
36-618-IgG1-1_S124,Holstein,NO,618,IgG1
37-278-IgG1-1_S125,Holstein,NO,278,IgG1
38-9004-IgG1-1_S126,Holstein,NO,9004,IgG1
39-279-IgG1-1_S127,Holstein,NO,279,IgG1
4-241-IgG1-1_S92,Holstein,241,NO,IgG1
40-281-IgG1-1_S128,Holstein,NO,281,IgG1
41-291-IgG1-1_S129,Holstein,NO,291,IgG1
42-637-IgG1-1_S130,Holstein,NO,637,IgG1
43-641-IgG1-1_S131,Holstein,NO,641,IgG1
44-720-IgG1-1_S132,Holstein,NO,720,IgG1
5-253-IgG1-1_S93,Holstein,253,253,IgG1
6-253-IgG1-1_S94,Holstein,253,NO,IgG1
7-603-IgG1-1_S95,Holstein,603,603,IgG1
8-603-IgG1-1_S96,Holstein,603,NO,IgG1
9-618-IgG1-1_S97,Holstein,618,618,IgG1
